Age,BusinessTravel,MonthlyIncome,JobSatisfaction,Bonus,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobLevel,JobRole,MaritalStatus,PerformanceRating,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,OverTime,Attrition
34,Travel_Rarely,2661,4,7983,Research & Development,19,2,Medical,1,18,2,Male,1,Laboratory Technician,Divorced,3,1,2,3,2,1,No,No
28,Travel_Rarely,2028,3,6084,Research & Development,24,3,Life Sciences,1,19,3,Male,1,Laboratory Technician,Single,3,0,4,3,4,0,Yes,Yes
29,Travel_Rarely,9980,1,29940,Research & Development,21,4,Life Sciences,1,20,2,Female,3,Manufacturing Director,Divorced,3,1,1,3,10,8,No,No
32,Travel_Rarely,3298,2,9894,Research & Development,5,2,Life Sciences,1,21,1,Male,1,Research Scientist,Divorced,3,2,5,2,6,0,Yes,No
22,Non-Travel,2935,4,8805,Research & Development,16,2,Medical,1,22,4,Male,1,Laboratory Technician,Divorced,3,2,2,2,1,0,Yes,No
53,Travel_Rarely,15427,4,46281,Sales,2,4,Life Sciences,1,23,1,Female,4,Manager,Married,3,0,3,3,25,3,No,No
38,Travel_Rarely,3944,4,11832,Research & Development,2,3,Life Sciences,1,24,4,Male,1,Research Scientist,Single,3,0,3,3,3,1,Yes,No
24,Non-Travel,4011,3,12033,Research & Development,11,2,Other,1,26,1,Female,2,Manufacturing Director,Divorced,3,1,5,2,4,1,No,No
36,Travel_Rarely,3407,1,13628,Sales,9,4,Life Sciences,1,27,3,Male,1,Sales Representative,Single,4,0,4,3,5,0,No,Yes
34,Travel_Rarely,11994,2,35982,Research & Development,7,4,Life Sciences,1,28,1,Female,3,Research Director,Single,3,0,4,3,12,2,No,No
21,Travel_Rarely,1232,4,3696,Research & Development,15,2,Life Sciences,1,30,3,Male,1,Research Scientist,Single,3,0,6,3,0,0,No,No
34,Travel_Rarely,2960,1,8880,Research & Development,6,1,Medical,1,31,2,Male,1,Research Scientist,Single,3,0,2,3,4,1,No,Yes
53,Travel_Rarely,19094,3,57282,Research & Development,5,3,Other,1,32,3,Female,5,Manager,Divorced,3,1,3,2,14,4,No,No
32,Travel_Frequently,3919,1,15676,Research & Development,16,1,Life Sciences,1,33,2,Female,1,Research Scientist,Single,4,0,5,3,10,6,Yes,Yes
42,Travel_Rarely,6825,2,20475,Sales,8,4,Marketing,1,35,3,Male,2,Sales Executive,Married,3,1,2,3,9,4,No,No
44,Travel_Rarely,10248,4,30744,Research & Development,7,4,Medical,1,36,1,Female,3,Healthcare Representative,Married,3,1,4,3,22,5,No,No
46,Travel_Rarely,18947,1,56841,Sales,2,4,Marketing,1,38,2,Female,5,Manager,Single,3,0,2,2,2,2,No,No
33,Travel_Rarely,2496,4,7488,Research & Development,2,3,Medical,1,39,3,Male,1,Laboratory Technician,Single,3,0,3,3,1,0,No,No
44,Travel_Rarely,6465,4,19395,Research & Development,10,4,Other,1,40,4,Male,2,Healthcare Representative,Married,3,0,5,4,4,1,Yes,No
30,Travel_Rarely,2206,3,6618,Research & Development,9,2,Medical,1,41,4,Male,1,Laboratory Technician,Single,3,0,5,3,10,1,No,No
39,Travel_Rarely,2086,4,6258,Sales,5,3,Technical Degree,1,42,4,Male,2,Sales Representative,Married,3,1,6,4,1,0,No,Yes
24,Travel_Rarely,2293,4,6879,Research & Development,1,3,Medical,1,45,2,Male,1,Research Scientist,Married,3,1,2,2,2,2,Yes,Yes
43,Travel_Rarely,2645,3,7935,Research & Development,2,2,Medical,1,46,4,Female,1,Research Scientist,Divorced,3,2,3,2,5,1,No,No
50,Travel_Rarely,2683,3,8049,Sales,3,2,Marketing,1,47,1,Male,1,Sales Representative,Married,3,0,2,3,3,0,Yes,Yes
35,Travel_Rarely,2014,4,6042,Sales,2,3,Marketing,1,49,4,Female,1,Sales Representative,Married,3,0,3,3,2,2,No,No
36,Travel_Rarely,3419,1,10257,Research & Development,5,4,Life Sciences,1,51,2,Female,1,Research Scientist,Married,3,1,3,4,1,0,Yes,No
33,Travel_Frequently,5376,1,16128,Sales,1,3,Life Sciences,1,52,3,Female,2,Sales Executive,Married,3,2,3,3,5,1,No,No
35,Travel_Rarely,1951,4,5853,Research & Development,4,2,Other,1,53,3,Male,1,Laboratory Technician,Divorced,3,1,3,3,1,0,No,No
27,Travel_Rarely,2341,1,7023,Research & Development,2,4,Life Sciences,1,54,4,Female,1,Laboratory Technician,Divorced,3,1,6,3,1,0,No,No
26,Travel_Rarely,2293,3,6879,Research & Development,25,3,Life Sciences,1,55,1,Male,1,Laboratory Technician,Single,3,0,2,2,1,0,No,Yes
27,Travel_Frequently,8726,3,26178,Sales,8,3,Life Sciences,1,56,4,Male,3,Sales Executive,Single,3,0,0,3,9,1,No,No
30,Travel_Frequently,4011,4,16044,Research & Development,1,2,Medical,1,57,3,Female,2,Laboratory Technician,Single,4,0,2,3,12,3,No,No
41,Travel_Rarely,19545,3,58635,Research & Development,12,3,Technical Degree,1,58,2,Female,5,Research Director,Married,3,0,0,3,22,15,No,Yes
34,Non-Travel,4568,3,18272,Sales,23,4,Marketing,1,60,2,Male,2,Sales Executive,Single,4,0,2,3,9,8,No,No
37,Travel_Rarely,3022,2,12088,Research & Development,19,2,Life Sciences,1,61,2,Male,1,Research Scientist,Married,4,0,1,3,1,0,No,No
46,Travel_Frequently,5772,4,23088,Sales,5,4,Marketing,1,62,1,Male,2,Sales Executive,Single,4,0,4,3,9,0,Yes,No
35,Travel_Rarely,2269,4,6807,Research & Development,8,1,Life Sciences,1,63,4,Male,1,Laboratory Technician,Married,3,0,2,3,1,0,No,No
48,Travel_Rarely,5381,3,16143,Research & Development,1,2,Life Sciences,1,64,1,Male,3,Laboratory Technician,Single,3,0,2,3,1,0,Yes,Yes
28,Travel_Rarely,3441,3,10323,Research & Development,5,4,Technical Degree,1,65,3,Male,1,Laboratory Technician,Single,3,0,3,2,2,2,Yes,Yes
44,Travel_Rarely,5454,1,21816,Sales,1,5,Marketing,1,68,2,Female,2,Sales Executive,Divorced,4,1,2,2,4,1,Yes,No
35,Non-Travel,9884,1,29652,Research & Development,11,2,Medical,1,70,3,Male,3,Healthcare Representative,Married,3,1,3,3,4,2,Yes,No
26,Travel_Rarely,4157,4,12471,Sales,23,3,Marketing,1,72,3,Female,2,Sales Executive,Married,3,1,2,2,2,0,Yes,No
33,Travel_Frequently,13458,4,40374,Research & Development,1,2,Life Sciences,1,73,1,Female,3,Research Director,Single,3,0,1,3,15,8,Yes,No
35,Travel_Frequently,9069,1,36276,Sales,18,5,Life Sciences,1,74,2,Male,3,Sales Executive,Married,4,1,3,2,9,1,No,No
35,Travel_Rarely,4014,1,12042,Research & Development,23,4,Medical,1,75,3,Female,1,Laboratory Technician,Married,3,1,3,3,2,2,Yes,No
31,Travel_Rarely,5915,4,23660,Research & Development,7,4,Life Sciences,1,76,4,Male,2,Laboratory Technician,Divorced,4,1,3,2,7,1,No,No
37,Travel_Rarely,5993,3,17979,Research & Development,1,4,Life Sciences,1,77,1,Male,2,Manufacturing Director,Divorced,3,1,2,4,7,0,No,No
32,Travel_Rarely,6162,4,24648,Research & Development,1,3,Medical,1,78,1,Male,2,Manufacturing Director,Married,4,1,3,3,9,7,Yes,No
38,Travel_Frequently,2406,4,7218,Research & Development,29,5,Life Sciences,1,79,4,Female,2,Laboratory Technician,Single,3,0,2,3,10,9,No,No
50,Travel_Rarely,18740,3,56220,Research & Development,7,2,Medical,1,80,2,Female,5,Research Director,Divorced,3,1,2,2,27,13,Yes,No
59,Travel_Rarely,7637,1,22911,Sales,25,3,Life Sciences,1,81,1,Female,3,Sales Executive,Single,3,0,3,2,21,7,No,No
36,Travel_Rarely,10096,3,30288,Research & Development,8,3,Technical Degree,1,83,3,Female,3,Healthcare Representative,Divorced,3,3,2,3,17,12,No,No
55,Travel_Rarely,14756,3,44268,Research & Development,8,3,Medical,1,84,4,Female,4,Manager,Divorced,3,3,2,3,5,0,Yes,No
36,Travel_Frequently,6499,2,19497,Research & Development,11,3,Life Sciences,1,85,2,Male,2,Manufacturing Director,Single,3,0,3,3,6,0,No,No
45,Travel_Rarely,9724,1,29172,Research & Development,7,3,Life Sciences,1,86,2,Male,3,Research Scientist,Divorced,3,1,2,3,1,0,No,No
35,Travel_Frequently,2194,1,6582,Research & Development,1,3,Medical,1,88,2,Male,1,Research Scientist,Married,3,1,2,2,3,1,No,No
36,Travel_Rarely,3388,3,10164,Research & Development,9,3,Medical,1,90,4,Male,1,Research Scientist,Married,3,1,0,2,1,0,Yes,Yes
59,Travel_Frequently,5473,3,16419,Sales,1,1,Life Sciences,1,91,1,Female,2,Sales Executive,Single,3,0,2,2,4,1,No,No
29,Travel_Rarely,2703,2,10812,Research & Development,2,3,Life Sciences,1,94,3,Male,1,Research Scientist,Married,4,1,3,3,5,0,No,No
31,Travel_Rarely,2501,2,7503,Research & Development,1,4,Medical,1,95,3,Male,1,Research Scientist,Single,3,0,4,3,1,1,No,No
32,Travel_Rarely,6220,2,18660,Research & Development,1,3,Life Sciences,1,96,2,Male,2,Research Scientist,Married,3,2,3,3,10,0,No,No
36,Travel_Rarely,3038,4,9114,Research & Development,6,3,Life Sciences,1,97,2,Female,1,Laboratory Technician,Married,3,0,3,3,1,0,No,No
31,Travel_Rarely,4424,4,17696,Research & Development,8,4,Life Sciences,1,98,3,Female,2,Manufacturing Director,Single,4,0,2,3,11,1,No,No
35,Travel_Rarely,4312,1,12936,Sales,1,4,Marketing,1,100,3,Male,2,Sales Executive,Single,3,0,2,3,15,2,No,No
45,Travel_Rarely,13245,1,39735,Research & Development,6,4,Other,1,101,4,Male,3,Research Director,Married,3,0,3,4,0,0,Yes,No
37,Travel_Rarely,13664,3,40992,Research & Development,7,4,Medical,1,102,1,Male,3,Research Director,Single,3,0,3,4,5,0,No,No
46,Travel_Rarely,5021,2,20084,Human Resources,5,2,Medical,1,103,2,Male,2,Human Resources,Divorced,4,1,2,3,4,0,Yes,No
30,Travel_Rarely,5126,4,15378,Research & Development,1,1,Life Sciences,1,104,4,Male,2,Laboratory Technician,Married,3,2,1,2,10,3,Yes,No
35,Travel_Rarely,2859,3,8577,Research & Development,1,3,Medical,1,105,2,Male,1,Research Scientist,Single,3,0,3,3,6,0,No,No
55,Travel_Rarely,10239,4,30717,Sales,1,2,Life Sciences,1,106,1,Male,3,Sales Executive,Married,3,1,4,3,1,1,No,No
38,Non-Travel,5329,4,15987,Research & Development,6,3,Medical,1,107,2,Female,2,Research Scientist,Divorced,3,3,3,3,13,1,Yes,No
34,Travel_Rarely,4325,2,12975,Research & Development,1,2,Medical,1,110,1,Male,2,Manufacturing Director,Married,3,0,2,3,5,1,No,No
56,Travel_Rarely,7260,4,21780,Research & Development,7,3,Life Sciences,1,112,4,Male,3,Manufacturing Director,Single,3,0,3,2,6,0,No,No
23,Travel_Rarely,2322,1,6966,Sales,2,1,Technical Degree,1,113,3,Male,1,Sales Representative,Divorced,3,1,3,3,0,0,No,No
51,Travel_Rarely,2075,4,8300,Research & Development,9,4,Life Sciences,1,116,4,Male,1,Laboratory Technician,Married,4,2,4,3,4,0,No,No
30,Travel_Rarely,4152,4,12456,Research & Development,2,3,Life Sciences,1,117,3,Male,2,Healthcare Representative,Married,3,3,3,3,11,10,No,No
46,Travel_Rarely,9619,4,28857,Sales,9,2,Medical,1,118,3,Male,3,Sales Executive,Single,3,0,3,3,9,4,No,Yes
40,Travel_Frequently,13503,2,54012,Research & Development,1,4,Life Sciences,1,119,3,Male,4,Healthcare Representative,Married,4,1,3,2,22,11,No,No
51,Travel_Rarely,5441,4,21764,Sales,21,4,Marketing,1,120,3,Male,2,Sales Executive,Single,4,0,2,1,10,1,Yes,No
30,Travel_Rarely,5209,2,15627,Sales,4,2,Medical,1,121,3,Female,2,Sales Executive,Divorced,3,3,4,2,11,2,Yes,No
46,Travel_Frequently,10673,1,32019,Research & Development,1,3,Medical,1,124,3,Male,3,Healthcare Representative,Married,3,1,5,2,10,9,Yes,No
32,Travel_Rarely,5010,3,15030,Sales,6,4,Medical,1,125,2,Male,2,Sales Executive,Single,3,0,0,3,11,5,No,No
54,Travel_Rarely,13549,3,40647,Research & Development,2,4,Technical Degree,1,126,1,Female,3,Research Director,Married,3,1,5,1,4,0,No,No
24,Travel_Rarely,4999,3,19996,Sales,3,2,Other,1,128,1,Female,2,Sales Executive,Married,4,1,2,2,3,0,No,No
28,Non-Travel,4221,3,12663,Sales,4,3,Medical,1,129,2,Male,2,Sales Executive,Married,3,0,3,4,5,0,No,No
58,Travel_Rarely,13872,3,41616,Sales,10,4,Medical,1,131,4,Male,4,Sales Executive,Single,3,0,1,2,37,1,No,No
44,Non-Travel,2042,2,6126,Research & Development,23,3,Medical,1,132,2,Male,2,Laboratory Technician,Married,3,1,3,4,3,1,No,No
37,Travel_Rarely,2073,1,8292,Human Resources,6,4,Human Resources,1,133,3,Male,1,Human Resources,Divorced,4,0,3,3,3,0,Yes,Yes
32,Travel_Rarely,2956,1,8868,Research & Development,1,1,Life Sciences,1,134,4,Male,1,Research Scientist,Single,3,0,2,3,1,0,No,No
20,Travel_Frequently,2926,4,8778,Research & Development,6,3,Life Sciences,1,137,4,Female,1,Laboratory Technician,Single,3,0,5,3,1,1,Yes,Yes
34,Travel_Rarely,4809,3,14427,Research & Development,6,4,Other,1,138,1,Female,2,Research Scientist,Single,3,0,3,3,16,2,No,No
37,Non-Travel,5163,4,15489,Research & Development,2,2,Life Sciences,1,139,3,Male,2,Healthcare Representative,Divorced,3,1,2,4,1,0,No,No
59,Non-Travel,18844,4,75376,Human Resources,2,4,Human Resources,1,140,3,Female,5,Manager,Married,4,1,3,3,3,2,No,No
50,Travel_Frequently,18172,2,54516,Research & Development,1,3,Life Sciences,1,141,1,Female,5,Research Director,Married,3,0,1,2,8,0,Yes,No
25,Travel_Rarely,5744,3,17232,Sales,5,3,Marketing,1,142,3,Male,2,Sales Executive,Single,3,0,1,3,6,0,Yes,Yes
25,Travel_Rarely,2889,4,8667,Research & Development,7,1,Medical,1,143,4,Male,1,Research Scientist,Married,3,2,2,3,2,2,No,No
22,Travel_Rarely,2871,4,8613,Research & Development,15,3,Medical,1,144,2,Female,1,Laboratory Technician,Single,3,0,5,3,0,0,No,No
51,Travel_Frequently,7484,1,29936,Research & Development,1,4,Medical,1,145,1,Female,3,Healthcare Representative,Single,4,0,1,2,13,12,No,No
34,Travel_Frequently,6074,3,24296,Research & Development,7,3,Life Sciences,1,147,1,Male,2,Laboratory Technician,Single,4,0,3,3,9,0,Yes,Yes
54,Non-Travel,17328,4,51984,Human Resources,26,3,Human Resources,1,148,4,Female,4,Manager,Single,3,0,3,3,5,4,Yes,No
24,Travel_Rarely,2774,3,8322,Research & Development,18,1,Life Sciences,1,150,2,Male,1,Laboratory Technician,Married,3,1,2,3,5,1,No,No
34,Travel_Rarely,4505,2,13515,Research & Development,6,4,Life Sciences,1,151,3,Female,2,Research Scientist,Divorced,3,1,3,3,1,0,No,No
37,Travel_Rarely,7428,4,22284,Sales,3,3,Life Sciences,1,152,3,Male,3,Sales Executive,Single,3,0,3,3,5,1,No,No
34,Travel_Rarely,11631,1,34893,Research & Development,5,3,Medical,1,153,3,Female,3,Manager,Single,3,0,6,3,11,5,No,No
36,Travel_Frequently,9738,4,29214,Sales,11,2,Technical Degree,1,154,2,Female,3,Sales Executive,Married,3,1,6,3,9,2,No,No
36,Travel_Rarely,2835,4,11340,Research & Development,3,2,Life Sciences,1,155,1,Female,1,Laboratory Technician,Divorced,4,1,2,3,1,0,No,No
43,Travel_Frequently,16959,4,50877,Sales,26,2,Life Sciences,1,158,3,Male,4,Manager,Married,3,2,3,4,25,4,Yes,No
30,Travel_Frequently,2613,3,10452,Research & Development,23,3,Life Sciences,1,159,1,Male,1,Research Scientist,Divorced,4,3,2,2,10,0,No,No
33,Non-Travel,6146,2,18438,Sales,22,2,Marketing,1,160,3,Male,2,Sales Executive,Married,3,1,2,4,7,0,No,No
56,Travel_Rarely,4963,2,14889,Research & Development,14,4,Life Sciences,1,161,2,Female,1,Research Scientist,Married,3,3,2,3,5,4,Yes,Yes
51,Travel_Rarely,19537,3,58611,Research & Development,6,3,Life Sciences,1,162,1,Male,5,Research Director,Single,3,0,5,3,20,15,No,No
31,Travel_Rarely,6172,3,18516,Sales,6,4,Life Sciences,1,163,2,Male,2,Sales Executive,Married,3,0,3,2,7,7,Yes,Yes
26,Travel_Rarely,2368,2,7104,Research & Development,6,3,Other,1,164,3,Female,1,Research Scientist,Married,3,0,3,2,5,4,No,No
58,Travel_Rarely,10312,4,30936,Research & Development,23,4,Medical,1,165,4,Female,3,Healthcare Representative,Married,3,1,3,2,40,15,No,Yes
19,Travel_Rarely,1675,3,5025,Sales,22,1,Marketing,1,167,4,Male,1,Sales Representative,Single,3,0,2,2,0,0,Yes,Yes
22,Travel_Rarely,2523,4,7569,Research & Development,2,1,Technical Degree,1,169,3,Male,1,Laboratory Technician,Married,3,1,2,3,2,2,No,No
49,Travel_Rarely,6567,1,19701,Research & Development,20,4,Medical,1,170,3,Female,2,Manufacturing Director,Married,3,0,2,2,15,5,No,No
43,Travel_Frequently,4739,3,14217,Research & Development,28,3,Medical,1,171,2,Female,1,Research Scientist,Single,3,0,2,3,3,1,No,No
50,Travel_Frequently,9208,4,27624,Sales,12,3,Marketing,1,174,3,Female,3,Sales Executive,Single,3,0,3,3,2,2,No,No
31,Travel_Rarely,4559,3,13677,Sales,20,3,Life Sciences,1,175,2,Female,2,Sales Executive,Married,3,1,2,3,2,2,Yes,Yes
41,Travel_Rarely,8189,3,24567,Sales,9,1,Life Sciences,1,176,3,Male,3,Sales Executive,Divorced,3,1,2,3,9,0,Yes,No
26,Travel_Rarely,2942,3,11768,Human Resources,25,1,Life Sciences,1,177,3,Female,1,Human Resources,Married,4,1,3,3,8,5,No,No
36,Travel_Rarely,4941,2,19764,Research & Development,6,2,Medical,1,178,2,Male,2,Manufacturing Director,Divorced,4,2,0,3,3,0,No,No
51,Travel_Frequently,10650,4,31950,Research & Development,8,4,Life Sciences,1,179,1,Male,3,Manufacturing Director,Single,3,0,2,3,4,0,No,Yes
39,Travel_Rarely,5902,3,17706,Sales,4,4,Life Sciences,1,182,4,Female,2,Sales Executive,Married,3,1,1,4,15,5,No,No
25,Travel_Rarely,8639,3,25917,Sales,28,3,Life Sciences,1,183,1,Male,2,Sales Executive,Married,3,0,3,3,2,2,No,No
30,Travel_Rarely,6347,4,19041,Human Resources,9,3,Human Resources,1,184,3,Male,2,Human Resources,Married,3,0,2,1,11,4,Yes,No
32,Travel_Rarely,4200,1,16800,Research & Development,9,3,Medical,1,190,1,Female,1,Laboratory Technician,Single,4,0,2,4,5,0,No,Yes
45,Travel_Rarely,3452,4,10356,Research & Development,29,3,Medical,1,192,3,Male,1,Research Scientist,Single,3,0,2,2,6,0,No,No
38,Travel_Rarely,4317,3,17268,Research & Development,3,5,Technical Degree,1,193,4,Female,2,Research Scientist,Single,4,0,2,3,3,2,Yes,No
30,Travel_Rarely,2632,3,7896,Research & Development,18,3,Life Sciences,1,194,1,Female,1,Research Scientist,Single,3,0,4,2,5,0,No,No
32,Travel_Frequently,4668,4,14004,Sales,9,2,Medical,1,195,4,Male,2,Sales Executive,Divorced,3,3,2,4,8,0,No,No
30,Travel_Rarely,3204,1,9612,Research & Development,5,3,Technical Degree,1,197,4,Female,1,Research Scientist,Divorced,3,1,3,3,3,2,No,No
30,Travel_Rarely,2720,4,8160,Research & Development,2,1,Medical,1,198,2,Male,1,Laboratory Technician,Single,3,0,3,3,5,1,No,No
41,Travel_Frequently,17181,1,51543,Research & Development,10,3,Life Sciences,1,199,4,Male,4,Manager,Divorced,3,1,2,2,7,7,No,No
41,Travel_Rarely,2238,1,8952,Research & Development,9,4,Life Sciences,1,200,3,Male,1,Laboratory Technician,Married,4,1,2,3,5,1,No,No
19,Travel_Rarely,1483,2,4449,Research & Development,3,1,Medical,1,201,2,Female,1,Laboratory Technician,Single,3,0,3,3,1,0,No,No
40,Travel_Frequently,5605,2,16815,Research & Development,26,3,Medical,1,202,2,Female,2,Research Scientist,Divorced,3,1,2,3,20,2,No,No
35,Travel_Rarely,7295,2,21885,Sales,1,5,Marketing,1,204,3,Male,3,Sales Executive,Married,3,2,3,3,10,0,No,No
53,Travel_Rarely,2306,3,9224,Sales,6,2,Marketing,1,205,2,Male,2,Sales Representative,Married,4,1,3,1,7,4,Yes,No
45,Travel_Rarely,2348,2,7044,Research & Development,9,3,Life Sciences,1,206,2,Male,2,Laboratory Technician,Divorced,3,1,2,1,17,0,No,No
32,Travel_Frequently,8998,4,26994,Sales,8,3,Marketing,1,207,2,Female,3,Sales Executive,Single,3,0,2,3,9,3,No,No
29,Non-Travel,4319,3,12957,Research & Development,1,1,Technical Degree,1,208,4,Male,2,Manufacturing Director,Married,3,1,1,3,10,0,No,No
51,Travel_Rarely,6132,3,18396,Research & Development,7,4,Medical,1,211,2,Male,2,Manufacturing Director,Married,3,0,2,3,1,0,No,No
58,Travel_Rarely,3346,2,13384,Research & Development,9,3,Medical,1,214,2,Female,1,Research Scientist,Married,4,1,3,2,1,0,Yes,No
40,Travel_Rarely,10855,4,32565,Sales,4,4,Marketing,1,215,3,Male,3,Sales Executive,Married,3,1,2,2,12,2,No,No
34,Travel_Frequently,2231,3,6693,Sales,2,4,Marketing,1,216,3,Female,1,Sales Representative,Married,3,1,3,3,4,1,No,No
22,Travel_Rarely,2323,4,9292,Research & Development,19,1,Medical,1,217,3,Male,1,Research Scientist,Married,4,2,6,3,2,2,No,No
27,Non-Travel,2024,2,6072,Research & Development,9,3,Medical,1,218,4,Male,1,Research Scientist,Divorced,3,1,1,1,2,2,No,No
28,Travel_Rarely,2713,4,8139,Research & Development,21,3,Medical,1,221,3,Male,1,Research Scientist,Married,3,1,2,1,5,0,No,No
57,Travel_Rarely,9439,4,28317,Research & Development,24,2,Life Sciences,1,223,3,Male,3,Healthcare Representative,Divorced,3,1,2,1,5,1,Yes,No
27,Non-Travel,2566,3,7698,Research & Development,3,3,Medical,1,224,3,Male,1,Research Scientist,Divorced,3,1,2,2,1,0,Yes,No
50,Travel_Rarely,19926,2,59778,Research & Development,11,3,Life Sciences,1,226,3,Female,5,Manager,Single,3,0,5,3,5,4,No,No
41,Travel_Rarely,2451,3,7353,Research & Development,14,3,Life Sciences,1,227,1,Male,1,Research Scientist,Divorced,3,1,2,3,9,1,No,No
30,Travel_Rarely,9419,4,28257,Sales,5,3,Life Sciences,1,228,2,Female,3,Sales Executive,Married,3,1,2,3,10,7,No,No
38,Travel_Rarely,8686,4,34744,Sales,1,4,Life Sciences,1,230,1,Female,2,Sales Executive,Single,4,0,2,4,8,0,No,No
32,Travel_Rarely,3038,3,12152,Research & Development,6,5,Life Sciences,1,231,3,Male,1,Research Scientist,Single,4,0,2,3,5,1,No,No
27,Travel_Rarely,3058,2,9174,Research & Development,17,3,Technical Degree,1,233,3,Male,1,Research Scientist,Married,3,1,3,2,5,1,Yes,No
19,Travel_Frequently,2325,1,9300,Sales,1,1,Technical Degree,1,235,3,Female,1,Sales Representative,Single,4,0,5,4,0,0,No,Yes
36,Travel_Frequently,2088,2,6264,Research & Development,3,2,Medical,1,238,4,Male,1,Laboratory Technician,Single,3,0,3,2,8,7,No,No
30,Non-Travel,3072,1,9216,Research & Development,9,3,Medical,1,239,3,Male,2,Laboratory Technician,Divorced,3,2,4,3,12,6,No,No
45,Travel_Rarely,5006,1,15018,Sales,4,2,Life Sciences,1,240,3,Female,2,Sales Executive,Divorced,3,1,3,4,5,0,Yes,No
56,Travel_Rarely,4257,1,12771,Research & Development,8,3,Life Sciences,1,241,3,Female,1,Research Scientist,Divorced,3,1,3,3,2,2,Yes,No
33,Travel_Rarely,2500,4,7500,Research & Development,2,3,Life Sciences,1,242,3,Male,1,Research Scientist,Single,3,0,2,4,3,0,No,No
19,Travel_Rarely,1102,4,4408,Research & Development,2,3,Life Sciences,1,243,2,Male,1,Laboratory Technician,Single,4,0,3,2,1,1,No,Yes
46,Travel_Rarely,10453,1,41812,Sales,1,2,Marketing,1,244,2,Female,3,Sales Executive,Divorced,4,3,2,3,24,15,No,No
38,Travel_Rarely,2288,4,6864,Research & Development,9,2,Life Sciences,1,245,3,Female,1,Laboratory Technician,Single,3,0,3,3,2,2,No,No
31,Travel_Rarely,3929,4,15716,Research & Development,12,1,Medical,1,246,3,Female,1,Research Scientist,Married,4,1,0,3,4,0,Yes,No
34,Travel_Rarely,2311,2,6933,Research & Development,27,2,Medical,1,247,4,Female,1,Research Scientist,Single,3,0,3,3,3,1,No,No
41,Travel_Rarely,3140,2,12560,Sales,20,2,Marketing,1,248,2,Female,1,Sales Representative,Single,4,0,5,2,4,0,Yes,Yes
50,Travel_Rarely,3690,3,11070,Research & Development,1,3,Medical,1,249,3,Male,1,Laboratory Technician,Married,3,1,2,2,3,0,No,No
53,Travel_Rarely,4450,1,13350,Research & Development,13,2,Medical,1,250,4,Female,2,Manufacturing Director,Divorced,3,2,3,3,4,1,No,No
33,Travel_Rarely,2756,2,8268,Research & Development,14,3,Medical,1,252,4,Female,1,Research Scientist,Married,3,1,5,3,8,1,No,No
40,Travel_Rarely,19033,3,57099,Research & Development,4,1,Medical,1,253,4,Female,5,Manager,Married,3,1,2,3,20,9,No,No
